dist_id,state,schlev,agchrt,district,total_enroll_fy20,current_sped_exp_fy20,total_enroll_fy21,current_sped_exp_fy21,total_enroll_fy22,current_sped_exp_fy22,total_enroll_fy23,current_sped_exp_fy23,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23
0633860,California,3,3,Saddleback Valley Unified,26275,53348000,24207,58709000,24356,61440000,23674,70500000,99742000,16686000,231571000,347999000,17298000,6547000,23845000,98409000,30854000,241607000,370870000,19578000,6517000,26095000,115001000,31983000,252153000,399137000,21835000,6810000,28645000,164213000,33260000,273454000,470927000,24137000,7084000,31221000,3415,3369,3220,3167
0633900,California,1,2,Salida Union Elementary,2358,2714000,2242,5725000,2231,6432000,2169,7196000,24185000,4378000,7363000,35926000,0,515000,515000,24414000,7598000,7219000,39231000,0,416000,416000,27835000,5593000,8526000,41954000,0,518000,518000,35605000,9551000,9023000,54179000,148000,456000,604000,354,329,354,343
0633930,California,1,3,Salinas City Elementary,8566,12697000,8271,13848000,8287,15233000,8273,18568000,82257000,10280000,30669000,123206000,0,1515000,1515000,80612000,21699000,31536000,133847000,0,943000,943000,104222000,20285000,39561000,164068000,0,1323000,1323000,130403000,32228000,37805000,200436000,1202000,1673000,2875000,857,748,823,920
0633980,California,2,3,Salinas Union High,16250,20448000,16423,24430000,16522,28219000,16236,32180000,159967000,13101000,58239000,231307000,0,2627000,2627000,175292000,31194000,55702000,262188000,0,2463000,2463000,196006000,32679000,69368000,298053000,0,2847000,2847000,251002000,40502000,82247000,373751000,0,3922000,3922000,1718,1838,1934,1773
0634050,California,1,3,San Antonio Union Elementary,137,189000,120,304000,122,288000,137,226000,819000,337000,1191000,2347000,0,33000,33000,659000,373000,1129000,2161000,0,45000,45000,1121000,414000,1131000,2666000,0,36000,36000,1335000,416000,1376000,3127000,15000,41000,56000,24,24,24,29
0634140,California,2,3,San Benito High,3187,6031000,3349,6089000,3491,7101000,3556,7573000,16598000,2556000,29120000,48274000,0,781000,781000,18334000,5882000,45115000,69331000,0,809000,809000,21059303.387139454,5894805.0079386085,33507891.604921937,60462000,0,958000,958000,36805000,5827000,39136000,81768000,0,1078000,1078000,379,416,437,449
0634170,California,3,3,San Bernardino City Unified,48586,92639000,46541,112819000,46363,123799000,45852,140036000,623235000,76978000,92495000,792708000,30196000,11332000,41528000,662723000,160038000,92690000,915451000,34252000,11452000,45704000,691746000,157986000,111300000,961032000,38717000,11564000,50281000,921142000,190457000,132090000,1243689000,49019000,14236000,63255000,6300,6063,6356,6495
0634230,California,1,3,San Bruno Park Elementary,2440,4300000,2274,6710000,2084,7097000,2013,8415000,4945000,1670000,32443000,39058000,0,521000,521000,5605000,2835000,35056000,43496000,0,493000,493000,6425000,3707000,35337000,45469000,0,431000,431000,10577000,3618000,38019000,52214000,322000,642000,964000,299,271,271,253
0634290,California,1,2,San Carlos Elementary,3015,7156000,2870,7939000,2628,8075000,2696,8618000,29606000,674000,19892000,50172000,13000,582000,595000,29727000,1276000,19782000,50785000,3000,381000,384000,7410000,887000,53616000,61913000,4000,507000,511000,9891000,1795000,55809000,67495000,252000,746000,998000,298,258,238,233
0634320,California,3,3,San Diego Unified,101967,324332000,97546,332500000,94996,355103000,93694,404591000,543340000,152438000,1401925000,2097703000,63819000,25035000,88854000,539221000,237580000,1461028000,2237829000,66216000,24639000,90855000,626896000,366560000,1537531000,2530987000,74146000,25065000,99211000,880825000,390683000,1674573000,2946081000,86687000,27062000,113749000,15086,13557,14037,14344
