dist_id,state,district,total_enroll,tcurelsc,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,state_rev_v92_adjusted,federal_rev_v92_adjusted,sped_enroll,sped_exp_pp,state_sped_rev_pp,federal_sped_rev_pp,state_fed_sped_rev_pp,sped_local_pp_obligation,state_sped_pct,federal_sped_pct,local_sped_pct,state_rev_no_sped,federal_rev_no_sped,current_exp_no_sped,state_no_sped_pct,federal_no_sped_pct,local_no_sped_pct,disproportionate,fy,cpi_multiplier,tcurelsc_adjusted,current_sped_exp_adjusted,state_sped_rev_adjusted,federal_sped_rev_adjusted,state_fed_sped_rev_adjusted,state_rev_v92_adjusted_real,federal_rev_v92_adjusted_real,sped_exp_pp_adjusted,state_sped_rev_pp_adjusted,federal_sped_rev_pp_adjusted,state_fed_sped_rev_pp_adjusted,sped_local_pp_obligation_adjusted
0100510,Alabama,Butler County,2952,28234000,2576000,0,974000,974000,20103000,5472000,348,7402.298850574713,0,2798.8505747126437,2798.8505747126437,4603.448275862069,0,0.3781055900621118,0.6218944099378882,20103000,4498000,25658000,0.7834983241094395,0.17530594746277964,0.04119572842778082,TRUE,fy20,1.1650487890214984,32893987.509232987,3001165.68051938,0,1134757.5205069394,1134757.5205069394,23420975.805699185,6375146.97352564,8624.0393118373,0,3260.7974727210903,3260.7974727210903,5363.241839116209
0100540,Alabama,Calhoun County,8495,84769000,8928000,0,2335000,2335000,58182000,9277000,1225,7288.163265306122,0,1906.122448979592,1906.122448979592,5382.040816326531,0,0.26153673835125446,0.7384632616487455,58182000,6942000,75841000,0.7671576060442241,0.09153360319616038,0.1413087907596155,TRUE,fy20,1.1650487890214984,98760020.7965634,10401555.588383937,0,2720388.922365199,2720388.922365199,67784868.64284882,10808157.615752442,8491.065786435867,0,2220.7256509103663,2220.7256509103663,6270.340135525501
0100600,Alabama,Chambers County,3479,35112000,4237000,0,849000,849000,23616000,5154000,622,6811.897106109324,0,1364.951768488746,1364.951768488746,5446.945337620578,0,0.20037762567854617,0.7996223743214539,23616000,4305000,30875000,0.7648906882591093,0.1394331983805668,0.09567611336032386,TRUE,fy20,1.1650487890214984,40907193.08012285,4936311.719084089,0,989126.4218792522,989126.4218792522,27513792.20153171,6004661.458616803,7936.192474411718,0,1590.2354049505661,1590.2354049505661,6345.957069461152
0100630,Alabama,Cherokee County,3897,41417000,3660000,0,1023000,1023000,27087000,5447000,518,7065.6370656370655,0,1974.903474903475,1974.903474903475,5090.733590733591,0,0.2795081967213115,0.7204918032786884,27087000,4424000,37757000,0.71740339539688,0.11717032603225892,0.16542627857086106,TRUE,fy20,1.1650487890214984,48252825.6949034,4264078.5678186845,0,1191844.911168993,1191844.911168993,31557676.54822533,6346020.753800102,8231.811906985877,0,2300.858901870643,2300.858901870643,5930.953005115234
0100660,Alabama,Chilton County,7831,68766000,5895000,0,1814000,1814000,50658000,8833000,850,6935.294117647059,0,2134.1176470588234,2134.1176470588234,4801.176470588235,0,0.30771840542832907,0.6922815945716709,50658000,7019000,62871000,0.8057450971035931,0.1116412972594678,0.0826136056369391,TRUE,fy20,1.1650487890214984,80115745.02585237,6867962.611281733,0,2113398.5032849982,2113398.5032849982,59019041.55425107,10290875.953426896,8079.956013272627,0,2486.351180335292,2486.351180335292,5593.604832937335
0100690,Alabama,Choctaw County,1242,14994000,1307000,0,414000,414000,8084000,3021000,161,8118.012422360249,0,2571.4285714285716,2571.4285714285716,5546.583850931677,0,0.31675592960979343,0.6832440703902065,8084000,2607000,13687000,0.5906334477971799,0.1904727113319208,0.21889384087089933,TRUE,fy20,1.1650487890214984,17468741.54258835,1522718.7672510985,0,482330.19865490036,482330.19865490036,9418254.410449794,3519612.391633947,9457.880541932289,0,2995.839743198139,2995.839743198139,6462.04079873415
0100720,Alabama,Clarke County,2362,25382000,2213000,0,698000,698000,17317000,4254000,290,7631.0344827586205,0,2406.896551724138,2406.896551724138,5224.137931034482,0,0.315408947130592,0.684591052869408,17317000,3556000,23169000,0.7474211230523544,0.15348094436531573,0.09909793258232984,TRUE,fy20,1.1650487890214984,29571268.36294367,2578252.970104576,0,813204.054737006,813204.054737006,20175149.879485287,4956117.548497454,8890.527483119227,0,2804.1519128862274,2804.1519128862274,6086.375570233
0100750,Alabama,Clay County,1840,17847000,2012000,13000,489000,502000,13427000,2181000,222,9063.063063063064,58.55855855855856,2202.7027027027025,2261.261261261261,6801.801801801803,0.00646123260437375,0.2430417495029821,0.7504970178926441,13414000,1692000,15835000,0.8471108304389011,0.10685191032522892,0.04603725923586996,TRUE,fy20,1.1650487890214984,20792625.73766668,2344078.163511255,15145.63425727948,569708.8578315127,584854.4920887923,15643110.09019166,2540971.408855888,10558.910646447093,68.22357773549315,2566.2561163581654,2634.479694093659,7924.430952353434
0100780,Alabama,Cleburne County,2539,23694000,1930000,0,702000,702000,18192000,3101000,291,6632.302405498282,0,2412.3711340206187,2412.3711340206187,4219.931271477662,0,0.36373056994818653,0.6362694300518135,18192000,2399000,21764000,0.8358757581326962,0.11022789928322,0.05389634258408379,TRUE,fy20,1.1650487890214984,27604666.007075384,2248544.162811492,0,817864.2498930919,817864.2498930919,21194567.5698791,3612816.2947556665,7726.955885950145,0,2810.5300683611404,2810.5300683611404,4916.4258175890045
0100810,Alabama,Coffee County,2467,23240000,2189000,0,482000,482000,17130000,2676000,273,8018.315018315018,0,1765.5677655677655,1765.5677655677655,6252.747252747253,0,0.22019186843307445,0.7798081315669255,17130000,2194000,21051000,0.8137380647000142,0.10422307728848984,0.08203885801149595,TRUE,fy20,1.1650487890214984,27075733.856859624,2550291.79916806,0,561553.5163083622,561553.5163083622,19957285.75593827,3117670.55942153,9341.728202080805,0,2056.972587210118,2056.972587210118,7284.755614870687
0100840,Alabama,Colbert County,2720,32020000,3436000,0,750000,750000,16777000,4375000,456,7535.087719298245,0,1644.7368421052631,1644.7368421052631,5890.350877192982,0,0.21827706635622815,0.7817229336437719,16777000,3625000,28584000,0.5869367478309544,0.12681919955219703,0.2862440526168486,TRUE,fy20,1.1650487890214984,37304862.22446838,4003107.639077869,0,873786.5917661238,873786.5917661238,19546023.53341368,5097088.451969055,8778.744822539185,0,1916.1986661537803,1916.1986661537803,6862.546156385405
0100870,Alabama,Conecuh County,1955,19321000,1388000,0,379000,379000,14154000,3023000,181,7668.508287292818,0,2093.9226519337017,2093.9226519337017,5574.585635359116,0,0.2730547550432277,0.7269452449567724,14154000,2644000,17933000,0.7892711760441644,0.14743768471532928,0.0632911392405063,TRUE,fy20,1.1650487890214984,22509907.652684372,1617087.71916184,0,441553.4910391479,441553.4910391479,16490100.559810288,3521942.4892119896,8934.186293711822,0,2439.5220499400434,2439.5220499400434,6494.664243771778
