dist_id,state,district,total_enroll,tcurelsc,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,state_rev_v92_adjusted,federal_rev_v92_adjusted,sped_enroll,sped_exp_pp,state_sped_rev_pp,federal_sped_rev_pp,state_fed_sped_rev_pp,sped_local_pp_obligation,state_sped_pct,federal_sped_pct,local_sped_pct,state_rev_no_sped,federal_rev_no_sped,current_exp_no_sped,state_no_sped_pct,federal_no_sped_pct,local_no_sped_pct,disproportionate,fy
0101410,Alabama,Eufaula City,5700,28502000,2362000,0,1070000,1070000,33630000,5069000,795,2971.069182389937,0,1345.9119496855346,1345.9119496855346,1625.1572327044023,0,0.45300592718035565,0.5469940728196443,33630000,3999000,26140000,1.2865340474368783,0.1529839326702372,-0.43951798010711546,TRUE,fy20
0101440,Alabama,Fairfield City,1639,18289000,1623000,0,383000,383000,11692000,3149000,208,7802.884615384615,0,1841.3461538461538,1841.3461538461538,5961.538461538461,0,0.23598274799753544,0.7640172520024646,11692000,2766000,16666000,0.7015480619224769,0.16596663866554662,0.1324852994119765,TRUE,fy20
0101470,Alabama,Fayette County,2230,23369000,2343000,0,569000,569000,15702000,2822000,278,8428.057553956834,0,2046.7625899280577,2046.7625899280577,6381.294964028777,0,0.24285104566794707,0.7571489543320529,15702000,2253000,21026000,0.74678968895653,0.10715304860648721,0.1460572624369828,TRUE,fy20
0101530,Alabama,Florence City,4484,52014000,4678000,0,983000,983000,28992000,5544000,588,7955.78231292517,0,1671.7687074829932,1671.7687074829932,6284.013605442176,0,0.21013253527148354,0.7898674647285164,28992000,4561000,47336000,0.6124725367584924,0.09635372655061687,0.2911737366908907,TRUE,fy20
0101560,Alabama,Fort Payne City,3385,30825000,2165000,98000,771000,869000,22161000,4676000,225,9622.222222222223,435.55555555555554,3426.6666666666665,3862.222222222222,5760,0.045265588914549654,0.35612009237875286,0.5986143187066975,22063000,3905000,28660000,0.7698185624563852,0.13625261688764828,0.09392882065596647,TRUE,fy20
0101590,Alabama,Franklin County,3674,37897000,3951000,0,756000,756000,26886000,5726000,543,7276.2430939226515,0,1392.2651933701657,1392.2651933701657,5883.977900552486,0,0.19134396355353075,0.8086560364464692,26886000,4970000,33946000,0.7920226241677959,0.14640900253343545,0.06156837329876866,TRUE,fy20
0101620,Alabama,Gadsden City,5098,53135000,5220000,0,1355000,1355000,32606000,9349000,750,6960,0,1806.6666666666667,1806.6666666666667,5153.333333333333,0,0.2595785440613027,0.7404214559386972,32606000,7994000,47915000,0.6804967129291454,0.16683710737764793,0.1526661796932067,TRUE,fy20
0101640,Alabama,Geneva City,1268,13206000,1195000,0,321000,321000,8830000,1537000,141,8475.17730496454,0,2276.595744680851,2276.595744680851,6198.581560283688,0,0.2686192468619247,0.7313807531380754,8830000,1216000,12011000,0.7351594371825826,0.1012405295146116,0.16360003330280581,TRUE,fy20
0101660,Alabama,Geneva County,2717,26737000,2303000,0,561000,561000,19211000,4320000,412,5589.805825242718,0,1361.6504854368932,1361.6504854368932,4228.155339805825,0,0.2435953104646114,0.7564046895353886,19211000,3759000,24434000,0.7862404845706802,0.15384300564786774,0.059916509781452076,TRUE,fy20
0101680,Alabama,Greene County,1012,13282000,862000,0,332000,332000,7363000,3226000,86,10023.255813953489,0,3860.4651162790697,3860.4651162790697,6162.790697674419,0,0.3851508120649652,0.6148491879350348,7363000,2894000,12420000,0.5928341384863124,0.23301127214170692,0.1741545893719807,TRUE,fy20
