dist_id,state,district,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23
2400060,Maryland,Anne Arundel County Public Schools,463358000,64990000,872613000,1400961000,31590000,18056000,49646000,478595000,98300000,861924000,1438819000,32289000,17856000,50145000,485587000,189785000,942096000,1617468000,31329000,19160000,50489000,538114000,177195000,1014035000,1729344000,4250000,22589000,26839000
2400090,Maryland,Baltimore City Public Schools,957983000,152826000,535080000,1645889000,56621000,24385000,81006000,964875000,221944000,448685000,1635504000,51562000,22571000,74133000,954305000,288309000,627959000,1870573000,59762000,25378000,85140000,1168896000,416887000,454484000,2040267000,59274000,25373000,84647000
2400120,Maryland,Baltimore County Public Schools,829391000,112754000,1009354000,1951499000,63171000,26084000,89255000,849944000,130929000,995778000,1976651000,64352000,25839000,90191000,824705000,257408000,1011732000,2093845000,63622000,27944000,91566000,934386000,281829000,1111665000,2327880000,52865000,35122000,87987000
2400150,Maryland,Calvert County Public Schools,104769000,10553000,154371000,269693000,5303000,3366000,8669000,106945000,14293000,148068000,269306000,5490000,2767000,8257000,190413000,20284000,146184000,356881000,4528000,4321000,8849000,117895000,22824000,162447000,303166000,6522000,4437000,10959000
2400180,Maryland,Caroline County Public Schools,68099000,8483000,29757000,106339000,2972000,1454000,4426000,68451000,15208000,25198000,108857000,3083000,1535000,4618000,78175000,15529000,23159000,116863000,2792000,1351000,4143000,73408000,14952000,23953000,112313000,3517000,1537000,5054000
2400210,Maryland,Carroll County Public Schools,161024000,15106000,219106000,395236000,10824000,6041000,16865000,163336000,33020000,251693000,448049000,10820000,6225000,17045000,148855000,38775000,255975000,443605000,10812000,7222000,18034000,177389000,25899000,252837000,456125000,14411000,5542000,19953000
2400240,Maryland,Cecil County Public Schools,125214000,15559000,101366000,242139000,8405000,3955000,12360000,125810000,25161000,111062000,262033000,8356000,3450000,11806000,133107000,40782000,104809000,278698000,8072000,5017000,13089000,133207000,34261000,105399000,272867000,10917000,4686000,15603000
2400270,Maryland,Charles County Public Schools,221926000,22725000,235098000,479749000,12228000,4511000,16739000,225414000,22605000,245186000,493205000,11098000,3943000,15041000,219206000,56615000,237487000,513308000,10697000,4965000,15662000,245141000,42272000,265556000,552969000,13997000,5319000,19316000
2400300,Maryland,Dorchester County Public Schools,53250000,8453000,23483000,85186000,1016000,1318000,2334000,53757000,11268000,22890000,87915000,3066000,1150000,4216000,73691000,17419000,23055000,114165000,1023000,1607000,2630000,58841000,18017000,23277000,100135000,30000,1433000,1463000
2400330,Maryland,Frederick County Public Schools,301035000,24785000,442839000,768659000,17639000,8253000,25892000,311523000,44332000,423277000,779132000,17613000,8478000,26091000,285259000,88328000,396746000,770333000,17158000,9504000,26662000,364982000,53433000,446646000,865061000,4127000,9991000,14118000
2400360,Maryland,Garrett County Public Schools,26700000,4880000,29886000,61466000,898000,1173000,2071000,26788000,9810000,31177000,67775000,847000,1189000,2036000,58977000,11533000,30723000,101233000,1439000,1266000,2705000,28635000,12487000,32642000,73764000,1310000,1331000,2641000
2400390,Maryland,Harford County Public Schools,255318000,30313000,350111000,635742000,15773000,8674000,24447000,260838000,48743000,373778000,683359000,16123000,8961000,25084000,238977000,85437000,373153000,697567000,14215000,9761000,23976000,296431000,63207000,410853000,770491000,24496000,11391000,35887000
2400420,Maryland,Howard County Public Schools,344420000,34361000,693884000,1072665000,17545000,9349000,26894000,351376000,43880000,737757000,1133013000,19574000,9857000,29431000,320812000,96001000,778755000,1195568000,18153000,11636000,29789000,394585000,58139000,808135000,1260859000,27979000,14216000,42195000
2400450,Maryland,Kent County Public Schools,11885000,3311000,20853000,36049000,892000,676000,1568000,11982000,3891000,21421000,37294000,753000,676000,1429000,70021000,6400000,19587000,96008000,619000,771000,1390000,13186000,7574000,23113000,43873000,679000,961000,1640000
2400480,Maryland,Montgomery County Public Schools,927693000,128931000,2355340000,3411964000,60868000,32952000,93820000,959620000,172565000,2405966000,3538151000,62585000,28665000,91250000,807672000,364477000,2337338000,3509487000,62510000,37938000,100448000,1030298000,274591000,2511855000,3816744000,78422000,44225000,122647000
2400510,Maryland,Prince George's County Public Schools,1329019000,143464000,1023802000,2496285000,70044000,28208000,98252000,1386685000,163743000,1038081000,2588509000,68816000,30425000,99241000,1439733000,350773000,1066295000,2856801000,78819000,32478000,111297000,1446536000,334621000,1131831000,2912988000,69674000,37194000,106868000
2400540,Maryland,Queen Anne's County Public Schools,44479000,5696000,73744000,123919000,2669000,1836000,4505000,45556000,6667000,66063000,118286000,1842000,1604000,3446000,158490000,9866000,66774000,235130000,2877000,2312000,5189000,50050000,13152000,75926000,139128000,1339000,2542000,3881000
2400570,Maryland,Somerset County Public Schools,38945000,6654000,14052000,59651000,1911000,854000,2765000,39874000,9579000,11559000,61012000,2012000,1146000,3158000,52035000,11281000,12693000,76009000,1947000,1094000,3041000,43042000,15892000,12728000,71662000,2529000,1212000,3741000
2400600,Maryland,St. Mary's County Public Schools,128951000,19425000,124268000,272644000,6146000,3912000,10058000,130609000,29142000,125668000,285419000,6763000,4155000,10918000,124177000,41778000,138410000,304365000,6771000,4520000,11291000,143226000,37401000,143932000,324559000,8870000,4554000,13424000
2400630,Maryland,Talbot County Public Schools,19915000,6287000,64708000,90910000,1343000,1377000,2720000,21493000,6451000,49594000,77538000,1094000,1313000,2407000,21339000,9954000,53740000,85033000,1114000,1247000,2361000,22778000,10661000,53295000,86734000,1783000,1332000,3115000
2400660,Maryland,Washingtion County Public Schools,212058000,25509000,121828000,359395000,9808000,5090000,14898000,214260000,48116000,112935000,375311000,9998000,5013000,15011000,204419000,59739000,120928000,385086000,10759000,6238000,16997000,231609000,69920000,124579000,426108000,13935000,5818000,19753000
2400690,Maryland,Wicomico County Public Schools,174620000,23425000,58891000,256936000,7941000,3060000,11001000,178087000,28220000,58036000,264343000,8292000,3098000,11390000,187515000,42603000,59756000,289874000,7137000,3600000,10737000,194473000,60931000,61915000,317319000,9370000,4829000,14199000
2400720,Maryland,Worcester County Public Schools,28721000,8369000,120987000,158077000,1689000,1583000,3272000,29454000,10770000,103043000,143267000,1681000,1433000,3114000,36267000,14480000,114971000,165718000,1671000,1725000,3396000,34008000,20194000,128968000,183170000,2167000,1836000,4003000
