state,district,dist_id,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23
CALIFORNIA,Magnolia Elementary,0623430,696,571,575,618
CALIFORNIA,Magnolia Union Elementary,0623460,10,-8,15,18
CALIFORNIA,Mammoth Unified,0623530,99,95,102,-8
CALIFORNIA,Manchester Union Elementary,0623550,10,11,7,6
CALIFORNIA,Manteca Unified,0623610,3534,3328,3295,3204
CALIFORNIA,Manzanita Elementary,0623700,18,23,23,36
CALIFORNIA,Maple Creek Elementary,0623730,3,3,NA,-8
CALIFORNIA,Maple Elementary,0623760,22,-8,25,-8
CALIFORNIA,Marcum-Illinois Union Elementary,0623800,20,19,-8,25
CALIFORNIA,Maricopa Unified,0623820,164,218,-8,52
CALIFORNIA,Mariposa County Unified,0623940,214,226,240,236
CALIFORNIA,Mark Twain Union Elementary,0623970,139,108,102,120
CALIFORNIA,Mark West Union Elementary,0624000,122,109,119,128
CALIFORNIA,Martinez Unified,0624030,580,559,573,590
CALIFORNIA,Marysville Joint Unified,0624090,1463,1423,1460,1491
CALIFORNIA,Maxwell Unified,0624150,33,38,47,47
CALIFORNIA,McCabe Union Elementary,0624180,120,123,136,138
CALIFORNIA,McCloud Union Elementary,0624210,8,-8,9,-8
CALIFORNIA,McFarland Unified,0624230,328,327,343,355
CALIFORNIA,McKinleyville Union Elementary,0624300,263,195,184,163
CALIFORNIA,McKittrick Elementary,0624330,9,9,11,-8
CALIFORNIA,McSwain Union Elementary,0624360,104,110,116,120
CALIFORNIA,Meadows Union Elementary,0624390,51,41,-8,-8
CALIFORNIA,Mendocino Unified,0624480,72,-8,-8,52
CALIFORNIA,Milpitas Unified,0624500,887,860,904,908
CALIFORNIA,Menifee Union Elementary,0624540,1408,1328,1449,1643
