state,district,dist_id,sped_enroll_fy22
ARIZONA,Casa Grande Elementary District (4446),0401710,897
ARIZONA,Casa Grande Union High School District (4453),0401740,485
ARIZONA,Catalina Foothills Unified District (4410),0401760,442
ARIZONA,"Caurus Academy, Inc (85749)",0400415,61
ARIZONA,Cave Creek Unified District (4244),0400001,738
ARIZONA,Cedar Unified District (4395),0401810,0
ARIZONA,"Center for Academic Success, Inc. (4191)",0400016,57
ARIZONA,"Challenge School, Inc. (6362)",0400135,24
ARIZONA,"Challenger Basic School, Inc. (79886)",0400359,12
ARIZONA,Chandler Preparatory Academy (88299),0400440,39
ARIZONA,Chandler Unified District #80 (4242),0401870,4613
ARIZONA,Chinle Unified District (4158),0401940,328
ARIZONA,Chino Valley Unified District (4474),0400003,421
ARIZONA,"Choice Academies, Inc. (90138)",0400805,41
ARIZONA,Cholla Academy (5186),0400402,59
ARIZONA,Cicero Preparatory Academy (92316),0400900,49
ARIZONA,CITY Center for Collaborative Learning (85448),0400407,66
ARIZONA,Clarkdale-Jerome Elementary District (4486),0400004,31
ARIZONA,Cochise Community Development Corporation (81027),0400632,80
ARIZONA,Cochise County Accommodation School District (1001687),0401015,43
ARIZONA,Cochise Elementary District (4177),0402130,14
ARIZONA,Coconino County Accommodation School District (10386),0400163,12
ARIZONA,Colorado City Unified District (4370),0400021,115
ARIZONA,Colorado River Union High School District (4381),0400082,248
ARIZONA,"Compass High School, Inc. (79467)",0400330,98
ARIZONA,"Compass Points International, Inc (90533)",0400820,24
ARIZONA,Concho Elementary District (4160),0402190,0
ARIZONA,"Concordia Charter School, Inc. (89556)",0400751,15
ARIZONA,Congress Elementary District (4479),0402220,0
ARIZONA,Continental Elementary District (4416),0402250,104
ARIZONA,Coolidge Unified District (4442),0402320,333
ARIZONA,Copper State Academy (1001671),0401014,0
ARIZONA,"Cornerstone Charter School,Inc (79077)",0400405,20
ARIZONA,"Cortez Park Charter Middle School, Inc. (79988)",0400376,15
ARIZONA,Cottonwood-Oak Creek Elementary District (4487),0402370,242
ARIZONA,Country Gardens Charter Schools (79074),0400429,28
ARIZONA,CPLC Community Schools (4300),0400144,15
ARIZONA,CPLC Community Schools dba Hiaki High School (90331),0400814,15
ARIZONA,CPLC Community Schools dba Toltecalli High School (80032),0400382,23
ARIZONA,Crane Elementary District (4501),0402400,546
ARIZONA,Creighton Elementary District (4263),0402430,563
ARIZONA,"Crown Charter School, Inc (79443)",0400323,0
ARIZONA,Daisy Education Corporation dba Paragon Science Ac (89917),0400778,19
ARIZONA,Daisy Education Corporation dba Sonoran Science Ac (79049),0400223,77
ARIZONA,Daisy Education Corporation dba Sonoran Science Ac (89914),0400776,26
ARIZONA,Daisy Education Corporation dba Sonoran Science Ac (89915),0400774,34
ARIZONA,Daisy Education Corporation dba. Sonoran Science A (90284),0400807,23
ARIZONA,Daisy Education Corporation dba. Sonoran Science A (90541),0400822,22
ARIZONA,Deer Valley Unified District (4246),0407750,3786
ARIZONA,Desert Heights Charter Schools (81099),0400610,96
ARIZONA,"Desert Rose Academy,Inc. (79441)",0400322,26
ARIZONA,"Desert Sky Community School, Inc. (88308)",0400448,0
ARIZONA,Desert Star Academy (92302),0400922,49
ARIZONA,"Desert Star Community School, Inc. (88321)",0400439,18
ARIZONA,"Destiny School, Inc. (6258)",0400339,22
ARIZONA,Discovery Plus Academy (6357),0400141,13
ARIZONA,Double Adobe Elementary District (4179),0402490,5
ARIZONA,Douglas Unified District (4174),0402530,295
ARIZONA,Duncan Unified District (4228),0402600,52
ARIZONA,Dysart Unified District (4243),0402690,3621
ARIZONA,"EAGLE College Prep Harmony, LLC (91170)",0400849,11
ARIZONA,"EAGLE College Prep Maryvale, LLC (91938)",0400916,36
ARIZONA,"EAGLE College Prep Mesa, LLC. (91939)",0400912,8
ARIZONA,"EAGLE South Mountain Charter, Inc. (89850)",0400763,61
ARIZONA,"East Mesa Charter Elementary School, Inc. (87401)",0400425,65
ARIZONA,"Eastpointe High School, Inc. (78833)",0400261,25
ARIZONA,Ed Ahead (90506),0400817,5
ARIZONA,"Edge School, Inc., The (4421)",0400078,29
ARIZONA,Edison Project (743644),0400978,32
ARIZONA,Edkey Inc. dba American Heritage Academy  (6365),0400130,29
ARIZONA,"Edkey, Inc. - Arizona Conservatory for Arts and Ac (79981)",0400653,33
ARIZONA,"Edkey, Inc. - Pathfinder Academy (81045)",0400638,71
ARIZONA,"Edkey, Inc. - Redwood Academy (81043)",0400637,20
ARIZONA,"Edkey, Inc. - Sequoia Charter School (6446)",0400244,131
ARIZONA,"Edkey, Inc. - Sequoia Choice Schools (4329)",0400157,458
ARIZONA,"Edkey, Inc. - Sequoia Pathway Academy (92226)",0400904,95
ARIZONA,"Edkey, Inc. - Sequoia Ranch School (81052)",0400641,12
ARIZONA,"Edkey, Inc. - Sequoia School for the Deaf and Hard (81050)",0400640,89
ARIZONA,"Edkey, Inc. - Sequoia Village School (79211)",0400246,75
ARIZONA,"Educational Impact, Inc. (81123)",0400613,11
ARIZONA,Educational Options Foundation (90201),0400816,48
ARIZONA,"EduPreneurship, Inc. (4341)",0400055,8
ARIZONA,"Eduprize Schools, LLC (89412)",0400746,387
ARIZONA,"E-Institute Charter Schools, Inc. (79059)",0400311,89
ARIZONA,Elfrida Elementary District (4185),0402760,23
ARIZONA,Eloy Elementary District (4448),0402790,85
ARIZONA,Empower College Prep (91277),0400877,116
ARIZONA,Espiritu Community Development Corp. (4335),0400052,45
ARIZONA,Espiritu Community Development Corp. (92250),0400895,32
ARIZONA,Espiritu Schools (92902),0400939,8
ARIZONA,Estrella Educational Foundation (92988),0400955,8
ARIZONA,Ethos Academy - A Challenge Foundation Academy (92379),0400942,35
ARIZONA,"Excalibur Charter Schools, Inc. (79214)",0400235,33
ARIZONA,"Fit Kids, Inc. dba Champion Schools (78783)",0400191,139
ARIZONA,Flagstaff Arts And Leadership Academy (4202),0400019,64
ARIZONA,Flagstaff Junior Academy (4207),0400098,39
ARIZONA,"Flagstaff Montessori, L.L.C. (4205)",0400020,11
ARIZONA,Flagstaff Unified District (4192),0402860,1277
ARIZONA,Florence Unified School District (4437),0402920,1576
ARIZONA,Flowing Wells Unified District (4405),0403010,802
ARIZONA,Fort Huachuca Accommodation District (4167),0403150,123
ARIZONA,Fort Thomas Unified District (4221),0403200,100
ARIZONA,Fountain Hills Unified District (4247),0403040,141
ARIZONA,Fowler Elementary District (4273),0403060,423
ARIZONA,"Franklin Phonetic Primary School, Inc. (4495)",0400092,74
