fy,state,n_districts,sped_enroll,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,current_sped_exp_adjusted,state_sped_rev_adjusted,federal_sped_rev_adjusted,state_fed_sped_rev_adjusted,n_disproportionate,total_sped_pp_expenditure,state_fed_sped_pp_funding,local_sped_pp_obligation,total_sped_pp_expenditure_adjusted,state_fed_sped_pp_funding_adjusted,local_sped_pp_obligation_adjusted,pct_disproportionate
fy22,Maine,169,31303,527313000,4856000,46008000,50864000,560333516.7502885,5160084.347132347,48889036.37620781,54049120.72334013,169,16845.446123374757,1624.892182857873,15220.553940516884,17900.313604136616,1726.6434758119071,16173.67012832471,1
fy22,Maryland,24,99711,1640346000,424497000,223925000,648422000,1743065016.1616883,451079144.37904465,237947258.53204516,689026402.9110898,24,16451.003399825495,6503.013709620805,9947.98969020469,17481.170745070136,6910.234607125491,10570.936137944645,1
fy22,Mississippi,129,61773,483307000,4714000,121877000,126591000,513571846.284904,5009192.259551458,129508978.5781403,134518170.83769178,129,7823.919835526848,2049.293380603176,5774.626454923672,8313.856317240607,2177.620818766966,6136.235498473641,1
fy22,Missouri,418,99062,1203399000,190282000,155020000,345302000,1278756248.61094,202197522.5990604,164727404.34358653,366924926.94264734,400,12147.937655205831,3485.7160162322584,8662.221638973573,12908.645581665422,3703.9927211508684,9204.652860514554,0.9569377990430622
fy22,Montana,212,17037,162823000,36210000,25536000,61746000,173019030.81818986,38477482.333126515,27135072.87651806,65612555.2096446,197,9557.022950049892,3624.2296178904735,5932.793332159418,10155.486929517512,3851.180090957598,6304.3068385599145,0.9292452830188679
fy22,Nebraska,196,47427,613879000,215739000,85876000,301615000,652320308.6765361,229248648.46910736,91253583.8950448,320502232.36415243,38,12943.660783941637,6359.563118055116,6584.097665886521,13754.19715935092,6757.801091449015,6996.396067901906,0.19387755102040816
fy22,Nevada,17,52544,714787000,578443000,81375000,659818000,759547201.4484533,614665294.4827589,86470729.76686466,701136024.2496238,11,13603.5893727162,12557.437576126675,1046.1517965895255,14455.450697481221,13343.7885248482,1111.6621726330213,0.6470588235294118
fy22,New Jersey,507,215109,4129744000,1392898000,391765000,1784663000,4388349953.060901,1480121739.487634,416297455.57131463,1896419195.0589495,277,19198.37849648318,8296.551980623777,10901.826515859402,20400.587390861845,8816.084845631514,11584.50254523033,0.5463510848126233
fy22,North Dakota,90,13560,206104000,6466000,22502000,28968000,219010301.5406437,6870903.0866058,23911082.77989541,30781985.866501212,89,15199.410029498526,2136.283185840708,13063.126843657818,16151.202178513546,2270.0579547567268,13881.144223756819,0.9888888888888889
fy22,South Dakota,122,19487,243796000,61035000,38699000,99734000,259062587.21035385,64857032.151405044,41122344.34713237,105979376.49853745,120,12510.699440652743,5117.97608662185,7392.723354030893,13294.123631670029,5438.465464080538,7855.65816758949,0.9836065573770492
fy22,Utah,40,70101,547170000,368207000,114893000,483100000,581433968.7439059,391264245.7175783,122087638.15796483,513351883.8755432,5,7805.452133350452,6891.485142865295,913.9669904851571,8294.232161365828,7323.032251687468,971.1999096783602,0.125
fy22,Virginia,130,161306,2804184000,525588000,281178000,806766000,2979782941.696659,558500496.6722813,298785460.5761902,857285957.2484713,127,17384.251050797862,5001.463057790783,12382.78799300708,18472.858676655916,5314.656350343268,13158.202326312648,0.9769230769230769
