dist_id,state,schlev,agchrt,district,current_sped_exp_fy20_adjusted,state_sped_rev_fy20_adjusted,federal_sped_rev_fy20_adjusted,state_fed_sped_rev_fy20_adjusted,sped_enroll_fy20,current_sped_exp_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy23,state_sped_pp_funding_fy20,federal_sped_pp_funding_fy20,state_fed_sped_pp_funding_fy20,total_sped_pp_expenditure_fy20,state_sped_pp_funding_fy23,federal_sped_pp_funding_fy23,state_fed_sped_pp_funding_fy23,total_sped_pp_expenditure_fy23,local_sped_pp_obligation_fy20,local_sped_pp_obligation_fy23,local_sped_pp_obligation_diff
0101620,Alabama,3,3,Gadsden City,6081555.78,0,1578641.395,1578641.395,750,6283000,0,1245000,1245000,656,0,2104.8551933333333,2104.8551933333333,8108.741040000001,0,1897.8658536585365,1897.8658536585365,9577.743902439024,6003.885846666668,7679.878048780488,1675.99220211382
0101640,Alabama,3,3,Geneva City,1392233.555,0,373980.729,373980.729,141,1264000,0,385000,385000,158,0,2652.345595744681,2652.345595744681,9873.99684397163,0,2436.7088607594937,2436.7088607594937,8000,7221.65124822695,5563.291139240506,-1658.3601089864442
0101660,Alabama,3,3,Geneva County,2683107.847,0,653592.489,653592.489,412,2932000,0,781000,781000,413,0,1586.3895364077669,1586.3895364077669,6512.397686893204,0,1891.0411622276029,1891.0411622276029,7099.273607748184,4926.008150485437,5208.232445520582,282.2242950351447
0101690,Alabama,3,3,Guntersville City,1600777.326,0,414757.444,414757.444,137,1767000,0,440000,440000,181,0,3027.426598540146,3027.426598540146,11684.50602919708,0,2430.939226519337,2430.939226519337,9762.430939226519,8657.079430656933,7331.491712707182,-1325.587717949751
0101710,Alabama,3,3,Hale County,2100583.347,0,759611.948,759611.948,198,2135000,0,778000,778000,187,0,3836.42397979798,3836.42397979798,10609.006803030303,0,4160.427807486631,4160.427807486631,11417.112299465241,6772.582823232323,7256.684491978611,484.10166874628794
0101730,Alabama,3,3,Hartselle City,4131263.754,0,820194.496,820194.496,500,4519000,0,784000,784000,537,0,1640.3889920000001,1640.3889920000001,8262.527508000001,0,1459.9627560521415,1459.9627560521415,8415.270018621974,6622.138516000001,6955.307262569832,333.16874656983146
0101740,Alabama,3,3,Henry County,2949904.068,0,736310.968,736310.968,331,2946000,0,683000,683000,326,0,2224.504435045317,2224.504435045317,8912.096882175227,0,2095.0920245398775,2095.0920245398775,9036.80981595092,6687.5924471299095,6941.717791411043,254.12534428113395
0101760,Alabama,3,3,Homewood City,6672235.623,0,957670.278,957670.278,316,7599000,0,896000,896000,309,0,3030.6021455696205,3030.6021455696205,21114.669693037973,0,2899.6763754045305,2899.6763754045305,24592.233009708736,18084.067547468352,21692.556634304205,3608.4890868358525
0101770,Alabama,3,3,Houston County,8180974.078,0,1755728.843,1755728.843,819,8132000,0,1564000,1564000,855,0,2143.7470610500613,2143.7470610500613,9988.9793382173375,0,1829.2397660818713,1829.2397660818713,9511.111111111111,7845.232277167276,7681.87134502924,-163.36093213803633
0101800,Alabama,3,3,Huntsville City,30116516.65,0,6393788.912,6393788.912,3151,30004000,0,8659000,8659000,3039,0,2029.1300894953981,2029.1300894953981,9557.764725483972,0,2849.292530437644,2849.292530437644,9872.98453438631,7528.634635988574,7023.692003948667,-504.94263203990704
